NAME_1,crimes 
Andaman and Nicobar Islands,96
Andhra Pradesh,54092
Arunachal Pradesh,401
Assam,27014
Bihar,21446
Chandigarh,482
Chhattisgarh,8453
Dadra and Nagar Haveli,30
Daman and Diu,19
Delhi,11940
Goa,363
Gujarat,19089
Haryana,11962
Himachal Pradesh,1830
Jammu and Kashmir,6650
Jharkhand,8202
Karnataka,19527
Kerala,21875
Lakshadweep,4
Madhya Pradesh,33814
Maharashtra,32372
Manipur,593
Meghalaya,503
Mizoram,401
Nagaland,114
Orissa,22626
Puducherry,120
Punjab,6432
Rajasthan,42222
Sikkim,136
Tamil Nadu,14200
Tripura,3118
Uttar Pradesh,47615
Uttaranchal,2131
West Bengal,61570
